timestamp,open,highest,lowest,close,volume
1618180200000,60009.72,60080,60009.62,60079.99,51.059196
1618180260000,60079.99,60094.37,60032.85,60041.82,41.805976
1618180320000,60041.82,60065.15,59927.91,59934.29,48.370355
1618180380000,59934.3,59934.3,59880.31,59880.34,24.155455
1618180440000,59880.34,59928.49,59875.65,59890.59,16.211368
1618180500000,59890.59,59900.35,59872.1,59878.46,17.816152
1618180560000,59878.46,59900.04,59821.14,59830.45,65.170947
1618180620000,59830.51,59835.92,59785.71,59803.92,26.363229
1618180680000,59803.91,59839.32,59789.51,59792.02,21.263402
1618180740000,59792.01,59800,59763.62,59773.35,19.157277
1618180800000,59773.35,59853.92,59769.86,59849.4,27.143674
1618180860000,59849.39,59885.07,59843.5,59850.01,15.040772
1618180920000,59850,59887.53,59822.89,59827.22,15.980028
1618180980000,59827.21,59879.68,59820.93,59820.93,13.290578
1618181040000,59820.94,59863.38,59820,59853.13,16.305696
1618181100000,59853.14,59924.52,59847.32,59901.93,26.028758
1618181160000,59901.93,59901.94,59862.56,59880.57,18.038144
1618181220000,59880.56,60000,59870.38,59999.99,41.562741
1618181280000,59999.99,60042.31,59965.89,59965.9,58.985968
1618181340000,59965.89,60007.42,59954.45,59995.99,17.982321
1618181400000,59995.99,60061.24,59968.92,60060.41,30.90975
1618181460000,60060.41,60100,60039.23,60067.99,42.022609
1618181520000,60068,60072.89,60027.57,60028.52,22.899912
1618181580000,60028.51,60130.57,60028.51,60106.97,30.52009
1618181640000,60106.97,60106.98,60036.76,60042.17,25.792881
1618181700000,60042.16,60047.11,60005.74,60034.74,16.786019
1618181760000,60034.73,60034.77,59983.28,59989.09,20.696843
1618181820000,59989.08,59989.09,59960,59978.31,15.085999
1618181880000,59978.31,60057,59978.3,60037.12,31.343377
1618181940000,60037.12,60116.29,60037.11,60101.68,38.832718
1618182000000,60101.68,60107.96,60036.32,60059.14,26.998534
1618182060000,60059.2,60070.94,59993.61,60023.4,21.485339
1618182120000,60023.41,60049.77,59978.31,59989.27,25.18135
1618182180000,59989.27,60049.78,59970.36,60039.72,50.130986
1618182240000,60039.71,60049.45,60000,60030.42,24.079201
1618182300000,60030.42,60030.97,59978.32,60006.08,22.628469
1618182360000,60006.08,60006.13,59964.81,59984.61,26.438406
1618182420000,59984.62,59999.84,59964.81,59973.58,21.722501
1618182480000,59973.57,59995.77,59965.51,59993.75,12.676046
1618182540000,59993.75,60000,59964.88,59964.88,31.638571
1618182600000,59964.89,60030.46,59964.88,59996.05,17.903592
1618182660000,59996.05,60005.16,59980.32,59984.47,11.661017
1618182720000,59984.46,59984.46,59960,59978.62,16.421113
1618182780000,59978.63,59982.21,59907.26,59951.96,34.265019
1618182840000,59949.99,59953.97,59900,59934.84,21.225749
1618182900000,59934.83,59985.54,59906.98,59939.81,18.650918
1618182960000,59940.87,59940.88,59908.95,59916.8,11.040529
1618183020000,59916.8,59970.57,59914.34,59949.79,14.85997
1618183080000,59949.78,59952.75,59926.09,59935.3,9.111051
1618183140000,59935.29,59967.99,59925.48,59955.05,8.176651
